REGION,PIM 2018,DEVENGADO 2018,% AVANCE 2018,PIM 2017,DEVENGADO 2017,% AVANCE 2017,PIM 2016,DEVENGADO 2016,% AVANCE 2016,PIM 2015,DEVENGADO 2015,% AVANCE 2015,PIM 2014,DEVENGADO 2014,% AVANCE 2014,PIM 2013,DEVENGADO 2013,% AVANCE 2013
AMAZONAS,12333865,12207496,98.98,11789990,11153803,94.6,11914512,11010639,92.41,25231584,21841346,86.56,6169435,5652559,91.62,3856443,3677176,95.35
ANCASH,56406560,41855321,74.2,78934539,46736543,59.21,14429709,5896789,40.87,6300155,5473396,86.88,5951704,5708205,95.91,4239589,4228277,99.73
APURIMAC,45826976,35954521,78.46,27508486,23357907,84.91,25860114,25217152,97.51,60275034,59207085,98.23,27135594,22925473,84.48,2825688,2683715,94.98
AREQUIPA,12461757,9935015,79.72,16684371,12723113,76.26,5867854,5742351,97.86,8097188,5904605,72.92,4645956,4346689,93.56,14883786,14246407,95.72
AYACUCHO,34889370,30930475,88.65,46059646,25093223,54.48,31145038,8949743,28.74,57756575,43594308,75.48,19407957,14060797,72.45,16297290,15512125,95.18
CAJAMARCA,11369072,9554197,84.04,35741464,32475745,90.86,5786987,4981356,86.08,9848941,8375268,85.04,7301697,7158593,98.04,6876360,6692555,97.33
CUSCO,76631002,53708309,70.09,56873774,48146102,84.65,45813778,35321133,77.1,93013455,67590943,72.67,46162427,34651017,75.06,52245822,31955710,61.16
HUANCAVELICA,60026121,10270248,17.11,71484515,22436979,31.39,17252933,17038045,98.75,14938299,11232982,75.2,6813439,6377799,93.61,4399813,4341745,98.68
HUANUCO,9127104,7195785,78.84,7170131,5044769,70.36,8378250,8253922,98.52,9930642,9492288,95.59,10287292,9363062,91.02,14649011,13374114,91.3
ICA,25137634,21689567,86.28,42608057,34644877,81.31,8830946,8106455,91.8,31107415,24740916,79.53,37850012,20455281,54.04,8166946,3786441,46.36
JUNIN,10227156,7940499,77.64,11486161,7908991,68.86,32206447,30232475,93.87,66819788,50018285,74.86,14399849,8091348,56.19,4349672,4204763,96.67
LA LIBERTAD,24740364,10933303,44.19,75561593,65913596,87.23,16632108,10331788,62.12,51936444,35433826,68.23,22083724,6735507,30.5,12546353,11805924,94.1
LAMBAYEQUE,33360606,17035842,51.07,56208053,33587635,59.76,19277712,14820734,76.88,22931048,17960402,78.32,31463323,9726680,30.91,17367206,12278448,70.7
LORETO,10272365,9965952,97.02,21461161,16103599,75.04,9076310,7426736,81.83,6963704,5976475,85.82,15207927,13256977,87.17,4450346,4128865,92.78
MADRE DE DIOS,4841923,4079408,84.25,13703162,12388729,90.41,13285072,2899133,21.82,14483064,4069630,28.1,17830028,6513577,36.53,2334104,2194284,94.01
MOQUEGUA,3109966,2567851,82.57,2560410,2506396,97.89,38199549,38047312,99.6,2607724,2396874,91.91,2948733,2775688,94.13,2390467,2220266,92.88
PASCO,7192737,6788476,94.38,2797509,2764233,98.81,2747041,2710805,98.68,4169152,4079875,97.86,2403815,2208736,91.88,2445084,2429694,99.37
PIURA,217983783,88029014,40.38,259271930,69912689,26.97,34395725,32569076,94.69,73681469,50104388,68,23089927,20118410,87.13,43871053,42293603,96.4
PUNO,14831749,13821046,93.19,9040184,7635760,84.46,14661595,14151755,96.52,18025907,15329739,85.04,11226490,10750958,95.76,7888260,7488291,94.93
SAN MARTIN,5045590,4708979,93.33,5243031,4845018,92.41,22098148,18957792,85.79,27791473,26578891,95.64,6532384,4763577,72.92,3760357,3638786,96.77
TACNA,4626881,4258750,92.04,4840938,4474623,92.43,14129821,7593394,53.74,8593062,3949058,45.96,4762695,4074496,85.55,4154268,2804611,67.51
TUMBES,13726932,9898759,72.11,32954353,30006159,91.05,18787782,18129061,96.49,28662112,14009859,48.88,31275485,30040777,96.05,14667137,10343271,70.52
UCAYALI,6812285,6569256,96.43,8665435,7356341,84.89,3153108,3096331,98.2,8589655,8249801,96.04,5270392,4878762,92.57,2898723,2850510,98.34
LIMA,78450177,61285423,78.12,185747735,120678039,64.97,36896216,35730110,96.84,60495183,41719237,68.96,14544675,13514349,92.92,4022734,3746621,93.14